business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes/BusinessAcceptsCreditCards,attributes/WheelchairAccessible,attributes/ByAppointmentOnly,attributes/RestaurantsPriceRange2,attributes/BusinessParking,attributes/AcceptsInsurance,attributes/BikeParking,categories,hours/Monday,hours/Tuesday,hours/Wednesday,hours/Thursday,hours/Friday,hours/Saturday,hours/Sunday,,attributes/DogsAllowed,attributes/WiFi,attributes,hours,attributes/GoodForKids,attributes/RestaurantsReservations,attributes/Caters,attributes/HasTV,attributes/Alcohol,attributes/RestaurantsAttire,attributes/RestaurantsTakeOut,attributes/RestaurantsTableService,attributes/Ambience,attributes/RestaurantsGoodForGroups,attributes/GoodForMeal,attributes/HappyHour,attributes/OutdoorSeating,attributes/RestaurantsDelivery,attributes/BusinessAcceptsBitcoin,attributes/NoiseLevel
9U1Igcpe954LoWZRmNc-zg,Hand & Stone Massage And Facial Spa,"1100 S Columbus Blvd, Ste 24",Philadelphia,PA,19147,39.932756,-75.144504,3,32,1,True,True,True,2,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",False,True,"Day Spas, Beauty & Spas, Skin Care, Massage",9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-22:0,9:0-20:0,10:0-20:0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150331,,,,,,,,,,,,,,,,,,,,
GeEveoOaU2YKD7jJtEfA_g,DeVons Jewelers,"13981 S Virginia St, 402A",Reno,NV,89511,39.4045516,-119.7509859,5,34,1,True,,False,3,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,True,"Shopping, Watches, Jewelry",10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,11:0-18:0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150332,,,,,,,,,,,,,,,,,,,,
qQ7FHvkGEMqoPKKXPk4gjA,La Quinta by Wyndham NW Tucson Marana,6020 West Hospitality Rd,Tucson,AZ,85743,32.3585874,-111.093308,2.5,67,1,True,,,2,,,,"Hotels & Travel, Hotels, Event Planning & Services",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,True,u'free',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150333,,,,,,,,,,,,,,,,,,,,
t_SGoRT5yt14OWr64TOulA,Sherwood Park Kwik Lube,979 Fir St,Sherwood Park,AB,T8A 4N5,53.5132154,-113.3286803,5,5,1,,,,,,,,"Oil Change Stations, Automotive, Auto Repair",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150334,,,,,,,,,,,,,,,,,,,,
LTeBejee7jIpaYWWll-Ubw,Town & Country Dental Care,"2821 N Ballas Rd, Ste 163",Saint Louis,MO,63131,38.6319095,-90.4442686,4.5,7,1,True,,True,,,True,,"Pediatric Dentists, Dentists, General Dentistry, Health & Medical, Cosmetic Dentists, Endodontists",12:0-18:0,12:0-18:0,8:0-14:0,8:0-14:0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150335,,,,,,,,,,,,,,,,,,,,
LJ4GjQ1HL6kqvIPpNUNNaQ,Shanti Yoga and Ayurveda,"1638 Pine St, Fl 1",Philadelphia,PA,19103,39.9459658,-75.1696663,4.5,39,1,True,,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",None,None,"Health & Medical, Yoga, Shopping, Naturopathic/Holistic, Active Life, Meditation Centers, Doctors, Fitness & Instruction",7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,7:0-20:0,,,,,,True,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150336,,,,,,,,,,,,,,,,,,,,
Gi1QPLu_y8rLS3uTN9Z_VA,St. Vincent Heart Center of Indiana,10580 N Meridian St,Indianapolis,IN,46290,39.9394894228,-86.1595016961,3,12,1,True,,True,,,,,"Hospitals, Health & Medical",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150337,,,,,,,,,,,,,,,,,,,,
WnT9NIzQgLlILjPT0kEcsQ,Adelita Taqueria & Restaurant,1108 S 9th St,Philadelphia,PA,19147,39.9359818,-75.158665,4.5,35,1,True,False,,2,"{'garage': None, 'street': True, 'validated': None, 'lot': False, 'valet': False}",,True,"Restaurants, Mexican",11:0-22:0,11:0-22:0,,11:0-22:0,11:0-2:0,11:0-2:0,11:0-22:0,,,u'free',,,True,False,True,True,u'none','casual',True,True,"{'touristy': None, 'hipster': False, 'romantic': None, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}",True,"{'dessert': True, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}",False,False,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150338,,,,,,,,,,,,,,,,,,,,
x_2IrYgFiQn7GOTTgWRbAw,The Vac & Sew Center,"200 Haddonfield Berlin Rd, Ste 5",Voorhees,NJ,08043,39.8577,-74.98723,4,5,0,,,,,,,,"Appliances & Repair, Home & Garden, Appliances, Local Services, Shopping",9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,9:30-18:0,9:30-17:0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150339,,,,,,,,,,,,,,,,,,,,
fn3ybdsRSrIDpKZTsRuAWg,INSPcenter/Thai Clinical Massage,"2625 N Meridian St, Unit 50",Indianapolis,IN,46208,39.8050568,-86.1559749,4,12,1,True,,True,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,True,"Massage Therapy, Rolfing, Beauty & Spas, Reflexology, Health & Medical, Life Coach, Professional Services, Fitness & Instruction, Meditation Centers, Massage, Reiki, Occupational Therapy, Active Life",10:0-20:0,10:0-20:30,10:0-20:0,10:0-20:0,10:0-20:0,10:0-20:0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150340,,,,,,,,,,,,,,,,,,,,
2O2K6SXPWv56amqxCECd4w,The Plum Pit,4405 Pennell Rd,Aston,DE,19014,39.8561847,-75.4277254,4.5,14,1,True,True,,1,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,True,"Restaurants, Comfort Food, Food, Food Trucks, Caterers, Event Planning & Services",0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,,,,,,,,True,,'none',,True,,,,,,,False,False,
,,,,,,,,,,,,,,,,,,,,,,,,,,150341,,,,,,,,,,,,,,,,,,,,
hn9Toz3s-Ei3uZPt7esExA,West Side Kebab House,2470 Guardian Road NW,Edmonton,AB,T5T 1K8,53.5096491651,-113.6759991199,4.5,18,0,,,,2,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,"Middle Eastern, Restaurants",11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,,,,,,True,,,,,u'casual',True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,u'average'
,,,,,,,,,,,,,,,,,,,,,,,,,,150342,,,,,,,,,,,,,,,,,,,,
IUQopTMmYQG-qRtBk-8QnA,Binh's Nails,3388 Gateway Blvd,Edmonton,AB,T6J 5H2,53.4684188,-113.4920537,3,13,1,,,False,3,,,,"Nail Salons, Beauty & Spas",10:0-19:30,10:0-19:30,10:0-19:30,10:0-19:30,10:0-19:30,10:0-17:30,11:0-17:0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150343,,,,,,,,,,,,,,,,,,,,
c8GjPIOTGVmIemT7j5_SyQ,Wild Birds Unlimited,2813 Bransford Ave,Nashville,TN,37204,36.115118,-86.766925,4,5,1,True,,,2,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,"Pets, Nurseries & Gardening, Pet Stores, Hobby Shops, Bird Shops, Home & Garden, Shopping",9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:30-17:30,9:0-17:0,0:0-16:0,,,u'no',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150344,,,,,,,,,,,,,,,,,,,,
_QAMST-NrQobXduilWEqSw,Claire's Boutique,"6020 E 82nd St, Ste 46",Indianapolis,IN,46250,39.908707,-86.065088,3.5,8,1,True,,,1,,,,"Shopping, Jewelry, Piercing, Toy Stores, Beauty & Spas, Accessories, Fashion",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150345,,,,,,,,,,,,,,,,,,,,
mtGm22y5c2UHNXDFAjaPNw,Cyclery & Fitness Center,2472 Troy Rd,Edwardsville,IL,62025,38.7823508,-89.9505584,4,24,1,True,,,4,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,True,"Fitness/Exercise Equipment, Eyewear & Opticians, Shopping, Sporting Goods, Bikes",9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-20:0,9:0-17:0,10:0-17:0,,,,,,,,,,,,None,,,,,,,None,,
,,,,,,,,,,,,,,,,,,,,,,,,,,150346,,,,,,,,,,,,,,,,,,,,
jV_XOycEzSlTx-65W906pg,Sic Ink,238 Apollo Beach Blvd,Apollo beach,FL,33572,27.771002,-82.3949096,4.5,9,1,True,True,False,1,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,False,"Beauty & Spas, Permanent Makeup, Piercing, Tattoo",,12:0-19:0,12:0-19:0,12:0-19:0,12:0-19:0,12:0-19:0,,,,u'free',,,,,,,,,,,,,,,,,False,
,,,,,,,,,,,,,,,,,,,,,,,,,,150347,,,,,,,,,,,,,,,,,,,,
